Squad,W,D,L,Pts/MP,GD,xGD,Season,League
Wolfsburg,10,7,17,1.09,-15,-5.5,2023-2024,Bundesliga
Mainz 05,7,14,13,1.03,-12,0.2,2023-2024,Bundesliga
Gladbach,7,13,14,1.0,-11,-7.8,2023-2024,Bundesliga
Union Berlin,9,6,19,0.97,-25,-10.4,2023-2024,Bundesliga
Bochum,7,12,15,0.97,-32,-19.3,2023-2024,Bundesliga
Köln,5,12,17,0.79,-32,-25.3,2023-2024,Bundesliga
Darmstadt 98,3,8,23,0.5,-56,-40.8,2023-2024,Bundesliga
Bayern Munich,21,5,2,2.43,54,50.2,2024-2025,Bundesliga
Leverkusen,18,8,2,2.21,29,21.9,2024-2025,Bundesliga
Eint Frankfurt,14,6,8,1.71,13,11.0,2024-2025,Bundesliga
Mainz 05,13,7,8,1.64,14,-0.7,2024-2025,Bundesliga
RB Leipzig,12,9,7,1.61,9,-3.6,2024-2025,Bundesliga
Gladbach,13,4,10,1.59,4,-6.7,2024-2025,Bundesliga
Freiburg,12,6,10,1.5,-6,0.0,2024-2025,Bundesliga
Dortmund,12,5,11,1.46,9,15.2,2024-2025,Bundesliga
Stuttgart,11,7,10,1.43,7,6.9,2024-2025,Bundesliga
Werder Bremen,11,6,11,1.39,-8,-1.5,2024-2025,Bundesliga
Augsburg,10,9,9,1.39,-8,-11.0,2024-2025,Bundesliga
Wolfsburg,10,8,9,1.41,8,-2.2,2024-2025,Bundesliga
Union Berlin,8,6,13,1.11,-15,-7.3,2024-2025,Bundesliga
Hoffenheim,6,9,13,0.96,-18,-12.2,2024-2025,Bundesliga
St. Pauli,7,4,16,0.93,-11,-8.2,2024-2025,Bundesliga
Heidenheim,6,4,18,0.79,-21,-10.6,2024-2025,Bundesliga
Bochum,5,5,18,0.71,-31,-23.7,2024-2025,Bundesliga
Holstein Kiel,4,6,18,0.64,-29,-17.6,2024-2025,Bundesliga
Napoli,28,6,4,2.37,49,33.0,2022-2023,Serie A
Lazio,22,8,8,1.95,30,9.8,2022-2023,Serie A
Inter,23,3,12,1.89,29,31.6,2022-2023,Serie A
Milan,20,10,8,1.84,21,17.7,2022-2023,Serie A
Atalanta,19,7,12,1.68,18,16.3,2022-2023,Serie A
Roma,18,9,11,1.66,12,25.4,2022-2023,Serie A
Juventus,22,6,10,1.63,23,13.7,2022-2023,Serie A
